Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
41735449,Heated Rivalry (Game Changers #2),Rachel  Reid,"Reid, Rachel",,"=""""","=""""",0,4.38,Carina Press,Kindle Edition,375,2019,2019,,2024/04/03,to-read,to-read (#172),to-read,,,,0,0
76714487,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731040""","=""9781639731046""",5,4.27,Bloomsbury Publishing,Hardcover,663,2023,2017,2024/03/30,2024/03/24,,,read,,,,1,0
55818653,Fables & Other Lies,Claire Contreras,"Contreras, Claire",,"=""""","=""""",0,3.62,The Wicked Pen,Kindle Edition,224,2020,2020,,2024/03/30,to-read,to-read (#171),to-read,,,,0,0
57748116,Satan's Affair,H.D. Carlton,"Carlton, H.D.",,"=""""","=""""",0,3.71,Independently Published,Kindle Edition,180,2021,2021,,2024/03/30,to-read,to-read (#170),to-read,,,,0,0
36550871,"Four Psychos (The Dark Side, #1)",Kristy Cunning,"Cunning, Kristy",,"=""""","=""""",0,4.12,C.M. Owens,Kindle Edition,173,2017,2017,,2024/03/30,to-read,to-read (#169),to-read,,,,0,0
43239166,"Gypsy Blood (All The Pretty Monsters, #1)",Kristy Cunning,"Cunning, Kristy",,"=""""","=""""",0,4.25,,Kindle Edition,278,2018,2018,,2024/03/30,to-read,to-read (#168),to-read,,,,0,0
56554626,"The Ex Hex (The Ex Hex, #1)",Erin Sterling,"Sterling, Erin",,"=""006302747X""","=""9780063027473""",0,3.49,Avon,Paperback,308,2021,2021,,2024/03/30,to-read,to-read (#167),to-read,,,,0,0
62316279,"Rhapsodic (The Bargainer, #1)",Laura Thalassa,"Thalassa, Laura",,"=""""","=""""",0,3.92,Bloom Books,Kindle Edition,423,2022,2016,,2024/03/30,to-read,to-read (#166),to-read,,,,0,0
199913907,"Consider Me (Playing for Keeps, #1)",Becka Mack,"Mack, Becka",,"=""1668059177""","=""9781668059173""",0,3.94,Simon & Schuster,Paperback,544,2023,2022,,2024/03/30,to-read,to-read (#165),to-read,,,,0,0
59227936,"Belladonna (Belladonna, #1)",Adalyn  Grace,"Grace, Adalyn",,"=""0316158232""","=""9780316158237""",0,4.00,"Little, Brown and Company",Hardcover,409,2022,2022,,2024/03/30,to-read,to-read (#164),to-read,,,,0,0
59963160,"Inked (Gilded Blood, #1)",Rachel Rener,"Rener, Rachel",,"=""""","=""""",0,4.24,"Lightning Conjurer Books, LLC",Kindle Edition,347,2022,2022,,2024/03/29,to-read,to-read (#163),to-read,,,,0,0
123008168,"My Dark Romeo (Dark Prince Road, #1)",Parker S. Huntington,"Huntington, Parker S.",L.J. Shen,"=""1950209075""","=""9781950209071""",0,3.77,PSH Publishing,Paperback,366,2023,2023,,2024/03/29,to-read,to-read (#162),to-read,,,,0,0
58995736,"A Not So Meet Cute (Cane Brothers, #1)",Meghan Quinn,"Quinn, Meghan",,"=""""","=""""",0,4.04,,,404,2021,2021,,2024/03/29,to-read,to-read (#161),to-read,,,,0,0
75513900,"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",0,4.22,,Kindle Edition,523,2023,2023,,2024/03/29,to-read,to-read (#160),to-read,,,,0,0
